x,y,isCH
38,-100,0
68,-98,0
86,-92,0
67,-95,0
99,-89,0
68,-93,0
91,-87,0
82,-86,0
99,-79,0
84,-81,0
80,-82,0
94,-75,0
87,-78,0
90,-75,0
66,-86,0
85,-74,0
79,-75,0
72,-79,0
85,-69,0
94,-60,0
84,-67,0
67,-78,0
93,-53,0
82,-61,0
96,-47,0
56,-83,0
39,-99,0
70,-66,0
99,-35,0
89,-45,0
96,-37,0
86,-46,0
96,-33,0
68,-65,0
100,-27,0
59,-75,0
93,-28,0
81,-43,0
71,-55,0
66,-57,0
89,-18,0
100,1,0
83,-22,0
92,-6,0
50,-79,0
84,-17,0
77,-29,0
76,-30,0
100,16,0
90,5,0
88,1,0
98,22,0
98,25,0
88,8,0
81,-7,0
97,28,0
94,26,0
89,19,0
61,-46,0
70,-24,0
99,45,0
78,-4,0
90,27,0
83,11,0
63,-36,0
84,18,0
73,-10,0
87,29,0
93,45,0
62,-35,0
88,36,0
79,12,0
94,60,0
93,61,0
76,16,0
63,-23,0
89,60,0
100,95,0
80,34,0
100,100,0
84,49,0
46,-74,0
69,5,0
48,-66,0
96,98,0
74,26,0
75,30,0
82,58,0
63,-10,0
85,71,0
84,68,0
65,-1,0
75,36,0
80,55,0
70,20,0
57,-28,0
88,90,0
88,91,0
61,-10,0
58,-20,0
87,99,0
80,71,0
63,2,0
70,31,0
67,20,0
73,45,0
85,99,0
52,-39,0
77,70,0
73,53,0
68,33,0
66,25,0
49,-46,0
76,88,0
59,4,0
40,-90,0
76,93,0
56,-8,0
50,-38,0
66,47,0
66,51,0
59,14,0
70,77,0
64,44,0
61,32,0
61,39,0
54,-2,0
61,46,0
56,16,0
52,-6,0
59,42,0
64,81,0
44,-57,0
53,8,0
53,15,0
63,92,0
61,78,0
52,10,0
44,-50,0
58,70,0
55,48,0
53,42,0
50,21,0
49,20,0
49,38,0
48,31,0
52,95,0
44,-16,0
49,61,0
49,81,0
44,1,0
42,-31,0
42,-22,0
46,65,0
42,-4,0
41,-28,0
44,48,0
43,56,0
44,91,0
39,-54,0
40,47,0
39,-23,0
39,59,0
38,77,0
37,25,0
36,48,0
36,6,0
36,-22,0
33,95,0
33,72,0
32,74,0
35,-17,0
32,64,0
32,54,0
33,9,0
30,73,0
32,6,0
30,40,0
32,-5,0
35,-61,0
36,-74,0
27,41,0
25,61,0
31,-14,0
30,-2,0
31,-16,0
25,44,0
20,98,0
22,75,0
20,93,0
20,89,0
21,78,0
18,97,0
31,-33,0
27,-3,0
25,14,0
30,-31,0
19,61,0
24,11,0
25,2,0
19,46,0
13,85,0
33,-64,0
21,20,0
20,16,0
11,69,0
7,81,0
7,80,0
12,50,0
15,30,0
15,28,0
7,72,0
10,54,0
2,97,0
7,55,0
0,84,0
26,-45,0
15,4,0
12,16,0
20,-21,0
1,57,0
9,21,0
-2,66,0
-8,85,0
7,20,0
-12,90,0
-1,44,0
32,-78,0
-9,72,0
-2,46,0
11,-2,0
-9,68,0
25,-54,0
-3,44,0
-9,62,0
-7,55,0
-3,40,0
13,-19,0
5,4,0
5,3,0
-23,84,0
-28,99,0
-13,52,0
-19,66,0
24,-60,0
4,-4,0
-2,12,0
19,-48,0
-32,87,0
29,-76,0
-22,56,0
-19,47,0
-26,64,0
-24,58,0
-37,87,0
-14,28,0
24,-66,0
14,-42,0
-33,71,0
-26,54,0
-21,40,0
-13,17,0
-43,85,0
-9,7,0
-15,20,0
-1,-13,0
-50,95,0
-36,61,0
-54,99,0
-8,-1,0
-43,74,0
4,-27,0
-38,63,0
-25,34,0
-9,-1,0
-22,24,0
7,-36,0
-8,-6,0
4,-31,0
-32,42,0
-42,62,0
-60,98,0
-61,99,0
10,-44,0
-19,14,0
-16,6,0
-10,-6,0
2,-30,0
-48,67,0
-38,45,0
-8,-13,0
-49,63,0
-46,56,0
-2,-26,0
-48,57,0
-47,54,0
-32,26,0
-49,56,0
-29,20,0
-45,48,0
-17,-4,0
-65,78,0
-64,76,0
-77,97,0
-58,63,0
-23,3,0
-78,95,0
23,-75,0
-76,90,0
-23,0,0
2,-41,0
-33,16,0
-19,-8,0
-3,-34,0
-72,75,0
-73,74,0
-33,11,0
-1,-40,0
-69,64,0
-56,44,0
-20,-12,0
-27,-2,0
-83,79,0
-26,-6,0
-56,38,0
5,-52,0
-40,13,0
-78,68,0
-38,8,0
-43,15,0
-81,67,0
4,-53,0
-97,86,0
-66,43,0
-96,82,0
-35,-1,0
17,-72,0
-26,-15,0
-92,71,0
-59,26,0
-86,60,0
27,-86,0
-23,-23,0
-54,16,0
-97,70,0
-51,11,0
-91,60,0
-83,49,0
-94,62,0
-83,48,0
-61,18,0
-49,3,0
-93,53,0
-53,5,0
16,-75,0
-43,-9,0
-38,-15,0
-43,-10,0
-82,31,0
-92,38,0
-98,44,0
-99,45,0
-66,10,0
-25,-34,0
-78,21,0
-86,28,0
-99,39,0
-57,-4,0
-75,14,0
-85,24,0
-99,38,0
-32,-30,0
-98,34,0
-95,30,0
-26,-38,0
-54,-11,0
-92,24,0
-80,12,0
-60,-7,0
-56,-11,0
-97,26,0
-77,6,0
-54,-16,0
-26,-42,0
-47,-23,0
-91,15,0
-94,17,0
-69,-6,0
-66,-9,0
9,-75,0
-58,-18,0
-81,-1,0
-7,-63,0
-31,-45,0
-5,-66,0
10,-78,0
-69,-18,0
-39,-42,0
-66,-22,0
-37,-45,0
-93,-5,0
2,-74,0
-47,-39,0
-75,-19,0
-97,-4,0
-59,-32,0
-36,-50,0
-53,-39,0
-69,-29,0
6,-79,0
-67,-32,0
-92,-19,0
-86,-23,0
-11,-70,0
-8,-73,0
-20,-66,0
-65,-40,0
7,-82,0
-38,-56,0
-76,-35,0
-61,-44,0
-80,-35,0
-27,-65,0
-80,-38,0
-73,-42,0
-64,-47,0
-64,-48,0
-60,-51,0
-83,-40,0
-41,-62,0
-69,-49,0
-88,-40,0
-86,-41,0
-30,-68,0
-97,-37,0
-49,-60,0
-2,-82,0
-96,-40,0
-100,-40,0
-38,-67,0
-75,-51,0
-8,-81,0
-37,-70,0
-23,-76,0
-98,-48,0
-65,-61,0
-1,-86,0
-7,-84,0
-27,-77,0
-94,-55,0
-97,-56,0
-92,-60,0
-54,-72,0
-49,-74,0
-57,-72,0
-78,-66,0
-68,-69,0
-97,-62,0
-45,-78,0
-68,-72,0
-65,-73,0
-86,-68,0
-47,-79,0
-57,-77,0
-45,-81,0
-78,-74,0
-93,-72,0
-80,-75,0
-91,-73,0
-12,-90,0
-62,-81,0
-11,-91,0
-74,-80,0
-66,-82,0
-58,-84,0
-23,-90,0
-86,-80,0
-89,-80,0
-39,-88,0
-46,-87,0
-92,-80,0
-16,-92,0
-48,-88,0
-35,-91,0
-78,-86,0
-71,-87,0
11,-97,0
-65,-91,0
-16,-96,0
-54,-94,0
-9,-97,0
-75,-93,0
-60,-94,0
-69,-94,0
-74,-94,0
-56,-96,0
-37,-97,0
-73,-97,0
-59,-98,0
-46,-99,0
38,-100,1
68,-98,1
99,-89,1
100,-27,1
100,1,1
100,16,1
100,95,1
100,100,1
-61,99,1
-77,97,1
-97,86,1
-99,45,1
-100,-40,1
-97,-62,1
-92,-80,1
-73,-97,1
-46,-99,1
