n,c
3,7
13,7
21,9
34,6
42,8
51,9
63,7
70,10
80,10
91,9
101,9
111,9
122,8
129,11
144,6
150,10
164,6
172,8
181,9
188,12
201,9
209,11
221,9
229,11
241,9
248,12
256,14
269,11
279,11
290,10
301,9
301,19
321,9
330,10
342,8
348,12
362,8
367,13
378,12
388,12
402,8
411,9
413,17
430,10
438,12
449,11
459,11
467,13
471,19
491,9
501,9
509,11
518,12
530,10
542,8
542,18
558,12
561,19
581,9
584,16
593,17
606,14
619,11
628,12
638,12
651,9
657,13
669,11
670,20
690,10
698,12
705,15
714,16
718,22
739,11
749,11
742,28
769,11
774,16
786,14
796,14
811,9
820,10
820,20
841,9
848,12
854,16
866,14
880,10
890,10
885,25
902,18
916,14
919,21
937,13
934,26
950,20
963,17
970,20
