x,y,isCH
-20,-316,0
134,-190,0
177,-128,0
247,-60,0
73,-224,0
192,-98,0
242,-45,0
158,-125,0
147,-130,0
129,-148,0
189,-75,0
193,-68,0
48,-233,0
309,92,0
328,127,0
105,-151,0
164,-62,0
124,-110,0
98,-147,0
142,-77,0
148,-65,0
74,-175,0
84,-156,0
67,-182,0
142,-65,0
87,-148,0
259,124,0
158,-27,0
181,13,0
171,-1,0
116,-91,0
269,165,0
46,-206,0
260,152,0
156,-20,0
118,-83,0
177,27,0
179,32,0
83,-134,0
121,-56,0
169,35,0
136,-18,0
129,-25,0
161,39,0
219,153,0
61,-155,0
149,20,0
153,28,0
160,47,0
145,18,0
138,5,0
201,133,0
123,-25,0
121,-25,0
124,-18,0
173,88,0
106,-49,0
77,-109,0
177,105,0
154,61,0
176,125,0
77,-96,0
94,-52,0
108,-18,0
82,-78,0
111,-9,0
110,-11,0
98,-39,0
96,-43,0
75,-92,0
76,-87,0
120,18,0
135,62,0
84,-61,0
81,-67,0
143,86,0
134,73,0
122,49,0
65,-97,0
61,-106,0
115,38,0
148,128,0
69,-73,0
107,31,0
86,-25,0
68,-71,0
79,-36,0
68,-62,0
125,104,0
82,-19,0
76,-36,0
77,-30,0
134,140,0
113,79,0
117,92,0
114,86,0
65,-60,0
56,-87,0
150,199,0
80,-6,0
58,-66,0
77,-3,0
79,7,0
67,-28,0
132,193,0
67,-24,0
96,75,0
84,41,0
59,-44,0
78,22,0
85,49,0
79,30,0
71,3,0
53,-60,0
90,73,0
47,-79,0
71,6,0
63,-19,0
104,134,0
57,-32,0
61,-17,0
63,-4,0
55,-33,0
64,1,0
59,-16,0
91,111,0
36,-99,0
26,-137,0
39,-86,0
55,-23,0
63,13,0
20,-156,0
77,77,0
51,-27,0
60,10,0
44,-54,0
61,18,0
69,54,0
29,-111,0
74,81,0
82,117,0
0,-231,0
49,-21,0
26,-119,0
78,108,0
70,77,0
63,50,0
63,59,0
51,6,0
110,274,0
90,185,0
31,-80,0
60,58,0
58,51,0
51,37,0
4,-196,0
62,97,0
34,-43,0
55,70,0
68,140,0
17,-123,0
58,93,0
40,0,0
32,-40,0
54,77,0
12,-146,0
59,105,0
55,84,0
64,137,0
47,50,0
35,-15,0
63,143,0
27,-56,0
53,90,0
56,108,0
38,9,0
39,18,0
58,128,0
53,103,0
39,27,0
23,-63,0
29,-26,0
46,81,0
65,199,0
48,100,0
17,-78,0
60,202,0
50,138,0
24,-29,0
20,-50,0
32,32,0
44,113,0
30,20,0
40,94,0
19,-48,0
23,-18,0
47,152,0
45,150,0
27,33,0
20,-11,0
16,-41,0
9,-89,0
36,133,0
11,-67,0
44,200,0
59,322,0
17,-15,0
47,244,0
4,-111,0
20,27,0
27,89,0
27,90,0
29,110,0
9,-57,0
12,-27,0
41,269,0
8,-47,0
2,-103,0
16,38,0
-1,-128,0
19,73,0
12,5,0
13,38,0
20,131,0
25,187,0
11,32,0
28,242,0
-1,-95,0
-5,-141,0
15,116,0
5,0,0
18,165,0
12,110,0
14,142,0
6,42,0
5,31,0
9,93,0
15,181,0
-3,-70,0
2,11,0
5,58,0
0,0,0
-4,-53,0
2,55,0
7,147,0
4,103,0
1,55,0
0,38,0
-9,-121,0
0,53,0
3,126,0
3,147,0
-1,83,0
-8,-59,0
2,194,0
-7,-14,0
-14,-172,0
-6,28,0
-1,173,0
-5,80,0
-5,81,0
-7,29,0
-6,70,0
-12,-91,0
-9,19,0
-14,-133,0
-11,19,0
-9,132,0
-10,105,0
-8,204,0
-14,-15,0
-13,38,0
-16,-85,0
-14,59,0
-16,-19,0
-18,-151,0
-16,18,0
-17,-10,0
-19,-213,0
-16,102,0
-17,57,0
-18,-2,0
-19,-25,0
-21,89,0
-21,32,0
-22,116,0
-24,225,0
-24,105,0
-25,113,0
-23,-94,0
-25,24,0
-22,-203,0
-25,-39,0
-26,-21,0
-27,0,0
-27,-10,0
-28,11,0
-36,298,0
-33,175,0
-31,45,0
-31,12,0
-26,-152,0
-32,-11,0
-37,114,0
-32,-38,0
-35,12,0
-30,-99,0
-38,63,0
-40,62,0
-37,2,0
-35,-57,0
-41,45,0
-57,274,0
-33,-109,0
-36,-85,0
-45,37,0
-59,227,0
-56,139,0
-52,86,0
-49,42,0
-56,120,0
-50,47,0
-44,-26,0
-37,-112,0
-48,7,0
-47,-15,0
-33,-175,0
-40,-104,0
-48,-21,0
-67,162,0
-57,57,0
-55,33,0
-66,128,0
-59,53,0
-52,-14,0
-60,58,0
-54,-3,0
-53,-22,0
-41,-130,0
-47,-78,0
-78,193,0
-84,238,0
-68,97,0
-47,-87,0
-53,-41,0
-56,-17,0
-53,-50,0
-65,44,0
-49,-85,0
-58,-17,0
-40,-161,0
-56,-41,0
-69,53,0
-80,131,0
-58,-41,0
-90,187,0
-70,42,0
-76,78,0
-60,-35,0
-88,158,0
-72,43,0
-79,89,0
-60,-44,0
-82,99,0
-84,107,0
-81,79,0
-73,24,0
-85,98,0
-71,8,0
-63,-43,0
-88,114,0
-74,19,0
-71,0,0
-90,115,0
-76,25,0
-74,9,0
-79,33,0
-63,-66,0
-78,20,0
-96,115,0
-76,-2,0
-65,-64,0
-51,-143,0
-76,-5,0
-72,-34,0
-89,55,0
-50,-159,0
-85,23,0
-95,70,0
-77,-30,0
-78,-27,0
-90,22,0
-109,111,0
-48,-183,0
-123,170,0
-104,76,0
-137,225,0
-65,-113,0
-42,-220,0
-105,52,0
-106,53,0
-89,-20,0
-82,-51,0
-119,106,0
-104,42,0
-103,36,0
-102,29,0
-105,35,0
-106,28,0
-111,46,0
-119,75,0
-51,-195,0
-125,93,0
-47,-211,0
-122,73,0
-58,-172,0
-130,88,0
-116,30,0
-114,22,0
-136,101,0
-94,-50,0
-96,-47,0
-151,144,0
-101,-33,0
-94,-61,0
-54,-199,0
-135,76,0
-128,38,0
-125,25,0
-140,71,0
-116,-12,0
-92,-93,0
-104,-57,0
-144,65,0
-104,-58,0
-146,70,0
-127,11,0
-121,-10,0
-127,7,0
-117,-29,0
-100,-84,0
-150,57,0
-120,-39,0
-130,-12,0
-123,-40,0
-134,-11,0
-136,-8,0
-169,75,0
-84,-149,0
-156,34,0
-81,-160,0
-186,108,0
-156,29,0
-147,6,0
-142,-10,0
-160,22,0
-124,-68,0
-119,-82,0
-177,51,0
-133,-53,0
-178,48,0
-149,-19,0
-139,-47,0
-196,72,0
-149,-43,0
-113,-122,0
-131,-85,0
-132,-86,0
-162,-25,0
-196,35,0
-159,-42,0
-145,-70,0
-192,20,0
-67,-226,0
-166,-40,0
-128,-114,0
-94,-183,0
-171,-46,0
-180,-41,0
-166,-66,0
-166,-68,0
-149,-98,0
-107,-170,0
-114,-159,0
-273,99,0
-162,-99,0
-154,-112,0
-202,-61,0
-141,-149,0
-138,-158,0
-178,-121,0
-135,-178,0
-282,-9,0
-261,-63,0
-190,-144,0
-121,-219,0
-110,-235,0
-143,-207,0
-77,-268,0
-20,-316,1
134,-190,1
247,-60,1
328,127,1
59,322,1
-36,298,1
-137,225,1
-273,99,1
-282,-9,1
-261,-63,1
-143,-207,1
-77,-268,1
