percentLate,maxLateness,gatesNeeded
0,0,20
0,0.15,20
0,0.3,20
0,0.45,20
0,0.6,20
0,0.75,20
0,0.9,20
0,1.05,20
0,1.2,20
0,1.35,20
0,1.5,20
0,1.65,20
0,1.8,20
0,1.95,20
0,2.1,20
0,2.25,20
0,2.4,20
0,2.55,20
0,2.7,20
0,2.85,20
0,3,20
0,3.15,20
0,3.3,20
0,3.45,20
0,3.6,20
0,3.75,20
0,3.9,20
0,4.05,20
0,4.2,20
0,4.35,20
0,4.5,20
0,4.65,20
0,4.8,20
0,4.95,20
0,5.1,20
0,5.25,20
0,5.4,20
0,5.55,20
0,5.7,20
0,5.85,20
0.1,0,20
0.1,0.15,20
0.1,0.3,21
0.1,0.45,22
0.1,0.6,20
0.1,0.75,21
0.1,0.9,20
0.1,1.05,20
0.1,1.2,20
0.1,1.35,20
0.1,1.5,20
0.1,1.65,19
0.1,1.8,21
0.1,1.95,21
0.1,2.1,20
0.1,2.25,20
0.1,2.4,21
0.1,2.55,21
0.1,2.7,19
0.1,2.85,21
0.1,3,19
0.1,3.15,21
0.1,3.3,20
0.1,3.45,21
0.1,3.6,19
0.1,3.75,21
0.1,3.9,21
0.1,4.05,21
0.1,4.2,19
0.1,4.35,20
0.1,4.5,19
0.1,4.65,20
0.1,4.8,20
0.1,4.95,21
0.1,5.1,18
0.1,5.25,21
0.1,5.4,21
0.1,5.55,20
0.1,5.7,20
0.1,5.85,22
0.2,0,20
0.2,0.15,20
0.2,0.3,20
0.2,0.45,20
0.2,0.6,20
0.2,0.75,22
0.2,0.9,20
0.2,1.05,22
0.2,1.2,20
0.2,1.35,20
0.2,1.5,21
0.2,1.65,20
0.2,1.8,21
0.2,1.95,22
0.2,2.1,19
0.2,2.25,20
0.2,2.4,20
0.2,2.55,19
0.2,2.7,23
0.2,2.85,21
0.2,3,23
0.2,3.15,21
0.2,3.3,22
0.2,3.45,20
0.2,3.6,20
0.2,3.75,21
0.2,3.9,19
0.2,4.05,21
0.2,4.2,19
0.2,4.35,21
0.2,4.5,21
0.2,4.65,19
0.2,4.8,20
0.2,4.95,23
0.2,5.1,22
0.2,5.25,21
0.2,5.4,20
0.2,5.55,21
0.2,5.7,20
0.2,5.85,20
0.3,0,20
0.3,0.15,20
0.3,0.3,21
0.3,0.45,19
0.3,0.6,21
0.3,0.75,20
0.3,0.9,20
0.3,1.05,21
0.3,1.2,23
0.3,1.35,23
0.3,1.5,20
0.3,1.65,21
0.3,1.8,22
0.3,1.95,22
0.3,2.1,20
0.3,2.25,19
0.3,2.4,24
0.3,2.55,21
0.3,2.7,23
0.3,2.85,21
0.3,3,20
0.3,3.15,21
0.3,3.3,23
0.3,3.45,24
0.3,3.6,22
0.3,3.75,21
0.3,3.9,21
0.3,4.05,19
0.3,4.2,22
0.3,4.35,21
0.3,4.5,21
0.3,4.65,21
0.3,4.8,25
0.3,4.95,20
0.3,5.1,19
0.3,5.25,19
0.3,5.4,22
0.3,5.55,25
0.3,5.7,24
0.3,5.85,22
0.4,0,20
0.4,0.15,20
0.4,0.3,19
0.4,0.45,21
0.4,0.6,21
0.4,0.75,21
0.4,0.9,21
0.4,1.05,20
0.4,1.2,21
0.4,1.35,20
